currency,chain,address,tag,selected
OKB,OKB-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
OKB,OKB-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
OKT,OKT-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
OL,OL-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
OM,OM-Mantra,mantra1ktvdud0g943tzlph926c4vv6np7w42rv99v469,,True
OMI,OMI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ONDO,ONDO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ONE,ONE-Harmony,one1cg3e8sf09zx7cndguz4wwzr9x3rm4t6c04krtd,,True
ONT,ONT-Ontology,AbvNwNXZHcwxSDNRLtHTii9dctzgPomzRz,,True
OP,OP-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ORBS,ORBS-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ORDI,ORDI-BRC20,bc1qusg08yycc2ecxvptl6ljk4dpd5x0j5z98dyht6zs7xa8ln0whqjqhtcfxa,,True
PARTI,PARTI-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PARTI,PARTI-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PAXG,PAXG-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PENDLE,PENDLE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PENGU,PENGU-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
PEOPLE,PEOPLE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PEPE,PEPE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PHA,PHA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PI,PI-PI,MALYJFJ5SVD45FBWN2GT4IW67SEZ3IBOFSBSPUFCWV427NBNLG3PWAAAAAAAAJF55SFAE,,True
PIXEL,PIXEL-Ronin,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PNUT,PNUT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
POL,POL-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
POL,POL-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
POR,POR-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PRCL,PRCL-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
PROMPT,PROMPT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PROVE,PROVE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
PUMP,PUMP-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
PYTH,PYTH-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
PYUSD,PYUSD-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
QTUM,QTUM-Quantum,MLpgbM1ZHcwxKVP1DuUHgHxpi1St95i94P,,True
RAY,RAY-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
RENDER,RENDER-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
RESOLV,RESOLV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RIO,RIO-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RON,RON-Ronin,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RPL,RPL-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RSR,RSR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RSS3,RSS3-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
RVN,RVN-Ravencoin,rC33pKqnCNjwy5U7UiXEWSrwo8Yr2SWyjN,,True
S,S-Sonic,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SAFE,SAFE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SAHARA,SAHARA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SAND,SAND-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SATS,SATS-BRC20,bc1qusg08yycc2ecxvptl6ljk4dpd5x0j5z98dyht6zs7xa8ln0whqjqhtcfxa,,True
SATS,SATS-MERLIN Network,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SCR,SCR-Scroll,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SD,SD-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SEI,SEI-SEI,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SENT,SENT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
SHIB,SHIB-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
